Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.1,
Horizontal Delay,0,
Sample Interval,0.001,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH1,CH2
1.51e-01,2.16,0.46
1.52e-01,2,0.48
1.53e-01,2,0.46
1.54e-01,2,0.48
1.55e-01,2,0.48
1.56e-01,1.92,0.52
1.57e-01,1.92,0.48
1.58e-01,1.92,0.48
1.59e-01,1.92,0.5
1.60e-01,1.92,0.52
1.61e-01,1.84,0.52
1.62e-01,1.84,0.5
1.63e-01,1.84,0.48
1.64e-01,1.76,0.48
1.65e-01,1.68,0.48
1.66e-01,1.76,0.46
1.67e-01,1.68,0.44
1.68e-01,1.68,0.42
1.69e-01,1.68,0.4
1.70e-01,1.6,0.4
1.71e-01,1.6,0.38
1.72e-01,1.52,0.34
1.73e-01,1.6,0.32
1.74e-01,1.6,0.32
1.75e-01,1.52,0.32
1.76e-01,1.52,0.26
1.77e-01,1.44,0.26
1.78e-01,1.44,0.24
1.79e-01,1.44,0.24
1.80e-01,1.36,0.2
1.81e-01,1.36,0.18
1.82e-01,1.28,0.2
1.83e-01,1.28,0.14
1.84e-01,1.2,0.14
1.85e-01,1.2,0.16
1.86e-01,1.28,0.16
1.87e-01,1.2,0.14
1.88e-01,1.2,0.1
1.89e-01,1.12,0.14
1.90e-01,1.12,0.1
1.91e-01,1.2,0.12
1.92e-01,1.04,0.1
1.93e-01,1.12,0.1
1.94e-01,1.04,0.1
1.95e-01,0.96,0.06
1.96e-01,1.04,0.1
1.97e-01,0.96,0.08
1.98e-01,0.88,0.08
1.99e-01,0.88,0.06
2.00e-01,0.8,0.08
2.01e-01,0.88,0.1
2.02e-01,0.8,0.1
2.03e-01,0.8,0.12
2.04e-01,0.72,0.12
2.05e-01,0.88,0.12
2.06e-01,0.72,0.16
2.07e-01,0.64,0.16
2.08e-01,0.64,0.18
2.09e-01,0.56,0.2
2.10e-01,0.64,0.2
2.11e-01,0.64,0.22
2.12e-01,0.56,0.24
2.13e-01,0.64,0.26
2.14e-01,0.56,0.26
2.15e-01,0.56,0.3
2.16e-01,0.56,0.3
2.17e-01,0.48,0.32
2.18e-01,0.48,0.32
2.19e-01,0.48,0.3
2.20e-01,0.4,0.32
2.21e-01,0.4,0.34
2.22e-01,0.24,0.32
2.23e-01,0.4,0.36
2.24e-01,0.32,0.38
2.25e-01,0.32,0.38
2.26e-01,0.24,0.4
2.27e-01,0.24,0.4
2.28e-01,0.16,0.42
2.29e-01,0.08,0.38
2.30e-01,0.16,0.42
2.31e-01,0.08,0.42
2.32e-01,0.08,0.42
2.33e-01,0.08,0.42
2.34e-01,0.08,0.46
2.35e-01,0,0.42
2.36e-01,0.08,0.44
2.37e-01,-0.08,0.44
2.38e-01,0,0.44
2.39e-01,0,0.42
2.40e-01,0,0.46
2.41e-01,0,0.46
2.42e-01,0.16,0.44
2.43e-01,0.08,0.46
2.44e-01,0.16,0.46
2.45e-01,0.08,0.48
2.46e-01,0.16,0.48
2.47e-01,0.16,0.48
2.48e-01,0.24,0.5
2.49e-01,0.24,0.5
2.50e-01,0.24,0.5
2.51e-01,0.32,0.5
2.52e-01,0.32,0.5
2.53e-01,0.32,0.5
2.54e-01,0.32,0.5
2.55e-01,0.24,0.5
2.56e-01,0.4,0.5
2.57e-01,0.4,0.5
2.58e-01,0.48,0.5
2.59e-01,0.56,0.5
2.60e-01,0.56,0.5
2.61e-01,0.48,0.5
2.62e-01,0.48,0.52
2.63e-01,0.56,0.5
2.64e-01,0.64,0.5
2.65e-01,0.64,0.5
2.66e-01,0.64,0.52
2.67e-01,0.64,0.5
2.68e-01,0.64,0.5
2.69e-01,0.72,0.5
2.70e-01,0.72,0.5
2.71e-01,0.8,0.5
2.72e-01,0.8,0.5
2.73e-01,0.8,0.46
2.74e-01,0.8,0.48
2.75e-01,0.88,0.46
2.76e-01,0.88,0.46
2.77e-01,0.88,0.44
2.78e-01,0.96,0.44
2.79e-01,0.96,0.42
2.80e-01,0.96,0.42
2.81e-01,1.04,0.44
2.82e-01,1.04,0.42
2.83e-01,1.04,0.4
2.84e-01,1.12,0.38
2.85e-01,1.12,0.36
2.86e-01,1.12,0.36
2.87e-01,1.2,0.34
2.88e-01,1.2,0.3
2.89e-01,1.28,0.32
2.90e-01,1.2,0.32
2.91e-01,1.2,0.28
2.92e-01,1.2,0.26
2.93e-01,1.44,0.24
2.94e-01,1.28,0.24
2.95e-01,1.28,0.22
2.96e-01,1.36,0.18
2.97e-01,1.44,0.16
2.98e-01,1.44,0.18
2.99e-01,1.52,0.16
3.00e-01,1.44,0.14
3.01e-01,1.44,0.12
3.02e-01,1.44,0.12
3.03e-01,1.52,0.08
3.04e-01,1.52,0.08
3.05e-01,1.6,0.1
3.06e-01,1.6,0.1
3.07e-01,1.68,0.08
3.08e-01,1.68,0.08
3.09e-01,1.6,0.08
3.10e-01,1.76,0.08
3.11e-01,1.68,0.06
3.12e-01,1.84,0.1
3.13e-01,1.84,0.1
3.14e-01,1.84,0.1
3.15e-01,1.84,0.1
3.16e-01,1.84,0.12
3.17e-01,1.84,0.14
3.18e-01,2,0.12
3.19e-01,1.92,0.14
3.20e-01,2,0.14
3.21e-01,1.92,0.16
3.22e-01,2,0.16
3.23e-01,2.08,0.16
3.24e-01,2.08,0.18
3.25e-01,2.08,0.2
3.26e-01,2.16,0.2
3.27e-01,2.16,0.22
3.28e-01,2.24,0.26
3.29e-01,2.16,0.28
3.30e-01,2.24,0.28
3.31e-01,2.32,0.3
3.32e-01,2.24,0.32
3.33e-01,2.24,0.34
3.34e-01,2.32,0.36
3.35e-01,2.32,0.38
3.36e-01,2.4,0.38
3.37e-01,2.32,0.42
3.38e-01,2.32,0.44
3.39e-01,2.4,0.46
3.40e-01,2.4,0.46
3.41e-01,2.48,0.5
3.42e-01,2.56,0.48
3.43e-01,2.48,0.5
3.44e-01,2.48,0.5
3.45e-01,2.56,0.5
3.46e-01,2.56,0.5
3.47e-01,2.64,0.52
3.48e-01,2.64,0.5
3.49e-01,2.64,0.5
3.50e-01,2.72,0.5
3.51e-01,2.64,0.48
3.52e-01,2.72,0.48
3.53e-01,2.72,0.48
3.54e-01,2.8,0.46
3.55e-01,2.8,0.46
3.56e-01,2.8,0.46
3.57e-01,2.88,0.44
3.58e-01,2.88,0.42
3.59e-01,2.88,0.42
3.60e-01,2.8,0.4
3.61e-01,2.96,0.42
3.62e-01,3.04,0.38
3.63e-01,3.04,0.38
