Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
-4.12e-01,0.64,0.5
-4.11e-01,0.72,0.48
-4.10e-01,0.64,0.46
-4.09e-01,0.64,0.48
-4.08e-01,0.56,0.46
-4.07e-01,0.56,0.48
-4.06e-01,0.56,0.46
-4.05e-01,0.56,0.46
-4.04e-01,0.56,0.48
-4.03e-01,0.48,0.48
-4.02e-01,0.48,0.48
-4.01e-01,0.48,0.44
-4.00e-01,0.32,0.44
-3.99e-01,0.4,0.42
-3.98e-01,0.32,0.42
-3.97e-01,0.32,0.42
-3.96e-01,0.24,0.38
-3.95e-01,0.32,0.4
-3.94e-01,0.24,0.42
-3.93e-01,0.32,0.4
-3.92e-01,0.24,0.36
-3.91e-01,0.16,0.34
-3.90e-01,0.16,0.36
-3.89e-01,0.08,0.32
-3.88e-01,0.16,0.32
-3.87e-01,0.08,0.3
-3.86e-01,0.08,0.3
-3.85e-01,0,0.32
-3.84e-01,0.08,0.3
-3.83e-01,0,0.28
-3.82e-01,0,0.26
-3.81e-01,0,0.26
-3.80e-01,0,0.24
-3.79e-01,0,0.26
-3.78e-01,0.08,0.22
-3.77e-01,0.16,0.22
-3.76e-01,0.08,0.2
-3.75e-01,0.08,0.22
-3.74e-01,0.16,0.2
-3.73e-01,0.24,0.18
-3.72e-01,0.24,0.14
-3.71e-01,0.24,0.2
-3.70e-01,0.24,0.2
-3.69e-01,0.32,0.16
-3.68e-01,0.24,0.14
-3.67e-01,0.32,0.16
-3.66e-01,0.24,0.16
-3.65e-01,0.4,0.16
-3.64e-01,0.4,0.12
-3.63e-01,0.48,0.14
-3.62e-01,0.4,0.14
-3.61e-01,0.48,0.16
-3.60e-01,0.48,0.14
-3.59e-01,0.56,0.1
-3.58e-01,0.56,0.14
-3.57e-01,0.48,0.1
-3.56e-01,0.48,0.12
-3.55e-01,0.56,0.1
-3.54e-01,0.56,0.1
-3.53e-01,0.64,0.1
-3.52e-01,0.72,0.1
-3.51e-01,0.72,0.1
-3.50e-01,0.8,0.14
-3.49e-01,0.8,0.14
-3.48e-01,0.72,0.18
-3.47e-01,0.88,0.22
-3.46e-01,0.8,0.24
-3.45e-01,0.88,0.22
-3.44e-01,0.8,0.24
-3.43e-01,0.96,0.28
-3.42e-01,0.96,0.32
-3.41e-01,0.96,0.3
-3.40e-01,0.96,0.34
-3.39e-01,1.04,0.34
-3.38e-01,1.04,0.38
-3.37e-01,0.96,0.38
-3.36e-01,1.04,0.42
-3.35e-01,1.2,0.42
-3.34e-01,1.2,0.44
-3.33e-01,1.12,0.42
-3.32e-01,1.2,0.44
-3.31e-01,1.2,0.46
-3.30e-01,1.28,0.48
-3.29e-01,1.2,0.48
-3.28e-01,1.2,0.48
-3.27e-01,1.36,0.44
-3.26e-01,1.28,0.48
-3.25e-01,1.36,0.48
-3.24e-01,1.36,0.5
-3.23e-01,1.44,0.46
-3.22e-01,1.28,0.5
-3.21e-01,1.44,0.48
-3.20e-01,1.44,0.48
-3.19e-01,1.52,0.46
-3.18e-01,1.52,0.46
-3.17e-01,1.52,0.48
-3.16e-01,1.52,0.46
-3.15e-01,1.52,0.48
-3.14e-01,1.6,0.46
-3.13e-01,1.68,0.46
-3.12e-01,1.68,0.42
-3.11e-01,1.76,0.42
-3.10e-01,1.68,0.42
-3.09e-01,1.76,0.4
-3.08e-01,1.76,0.4
-3.07e-01,1.84,0.38
-3.06e-01,1.84,0.36
-3.05e-01,1.92,0.34
-3.04e-01,1.84,0.32
-3.03e-01,1.92,0.32
-3.02e-01,1.92,0.3
-3.01e-01,1.92,0.26
-3.00e-01,1.92,0.24
-2.99e-01,2,0.22
-2.98e-01,1.92,0.22
-2.97e-01,2.08,0.2
-2.96e-01,2,0.2
-2.95e-01,2.08,0.18
-2.94e-01,2.08,0.14
-2.93e-01,2.08,0.14
-2.92e-01,2.16,0.12
-2.91e-01,2.24,0.14
-2.90e-01,2.24,0.1
-2.89e-01,2.24,0.1
-2.88e-01,2.32,0.12
-2.87e-01,2.32,0.1
-2.86e-01,2.32,0.1
-2.85e-01,2.4,0.1
-2.84e-01,2.48,0.1
-2.83e-01,2.32,0.1
-2.82e-01,2.4,0.1
-2.81e-01,2.4,0.1
-2.80e-01,2.48,0.08
-2.79e-01,2.48,0.1
-2.78e-01,2.56,0.1
-2.77e-01,2.48,0.12
-2.76e-01,2.56,0.12
-2.75e-01,2.56,0.14
-2.74e-01,2.56,0.14
-2.73e-01,2.64,0.16
-2.72e-01,2.64,0.14
-2.71e-01,2.64,0.18
-2.70e-01,2.56,0.16
-2.69e-01,2.72,0.22
-2.68e-01,2.8,0.2
-2.67e-01,2.8,0.22
-2.66e-01,2.72,0.24
-2.65e-01,2.8,0.26
-2.64e-01,2.8,0.28
-2.63e-01,2.88,0.3
-2.62e-01,2.8,0.32
-2.61e-01,2.96,0.32
-2.60e-01,2.96,0.34
-2.59e-01,2.96,0.36
-2.58e-01,2.96,0.36
-2.57e-01,2.96,0.42
-2.56e-01,2.96,0.42
-2.55e-01,3.04,0.44
-2.54e-01,3.04,0.44
-2.53e-01,3.04,0.46
-2.52e-01,3.12,0.44
-2.51e-01,3.12,0.48
-2.50e-01,3.12,0.48
-2.49e-01,3.2,0.48
-2.48e-01,3.2,0.48
-2.47e-01,3.2,0.5
-2.46e-01,3.36,0.48
-2.45e-01,3.28,0.5
-2.44e-01,3.36,0.46
-2.43e-01,3.28,0.48
-2.42e-01,3.36,0.5
-2.41e-01,3.36,0.5
-2.40e-01,3.44,0.48
-2.39e-01,3.44,0.48
-2.38e-01,3.36,0.46
-2.37e-01,3.44,0.48
-2.36e-01,3.52,0.48
-2.35e-01,3.52,0.48
-2.34e-01,3.6,0.44
-2.33e-01,3.6,0.44
-2.32e-01,3.68,0.46
-2.31e-01,3.68,0.42
-2.30e-01,3.68,0.42
-2.29e-01,3.68,0.42
-2.28e-01,3.76,0.4
-2.27e-01,3.76,0.38
-2.26e-01,3.76,0.34
-2.25e-01,3.68,0.34
-2.24e-01,3.68,0.3
-2.23e-01,3.68,0.3
-2.22e-01,3.68,0.28
-2.21e-01,3.68,0.28
-2.20e-01,3.6,0.28
-2.19e-01,3.6,0.26
-2.18e-01,3.6,0.26
-2.17e-01,3.6,0.26
-2.16e-01,3.6,0.26
-2.15e-01,3.52,0.24
-2.14e-01,3.52,0.24
-2.13e-01,3.44,0.26
-2.12e-01,3.44,0.26
-2.11e-01,3.36,0.24
-2.10e-01,3.36,0.26
-2.09e-01,3.28,0.28
-2.08e-01,3.28,0.28
-2.07e-01,3.28,0.3
-2.06e-01,3.2,0.3
-2.05e-01,3.2,0.3
-2.04e-01,3.2,0.32
-2.03e-01,3.2,0.32
-2.02e-01,3.2,0.34
-2.01e-01,3.2,0.36
-2.00e-01,3.2,0.36
-1.99e-01,3.12,0.38
-1.98e-01,3.12,0.38
-1.97e-01,2.96,0.4
-1.96e-01,3.12,0.42
-1.95e-01,2.96,0.42
-1.94e-01,2.88,0.44
-1.93e-01,2.96,0.44
-1.92e-01,2.96,0.44
-1.91e-01,2.8,0.46
-1.90e-01,2.88,0.46
-1.89e-01,2.72,0.48
-1.88e-01,2.8,0.48
-1.87e-01,2.88,0.48
-1.86e-01,2.8,0.48
-1.85e-01,2.8,0.46
-1.84e-01,2.72,0.48
-1.83e-01,2.72,0.48
-1.82e-01,2.64,0.5
-1.81e-01,2.56,0.52
-1.80e-01,2.56,0.46
-1.79e-01,2.56,0.5
-1.78e-01,2.64,0.48
-1.77e-01,2.56,0.5
-1.76e-01,2.48,0.48
-1.75e-01,2.48,0.48
-1.74e-01,2.4,0.46
-1.73e-01,2.48,0.44
-1.72e-01,2.48,0.46
-1.71e-01,2.32,0.48
-1.70e-01,2.4,0.46
-1.69e-01,2.4,0.42
-1.68e-01,2.32,0.4
-1.67e-01,2.32,0.42
-1.66e-01,2.24,0.38
-1.65e-01,2.32,0.38
-1.64e-01,2.32,0.38
-1.63e-01,2.24,0.34
-1.62e-01,2.16,0.32
-1.61e-01,2.24,0.3
-1.60e-01,2.08,0.3
-1.59e-01,2.16,0.28
-1.58e-01,2,0.28
-1.57e-01,1.92,0.26
-1.56e-01,2,0.22
-1.55e-01,1.92,0.18
-1.54e-01,2,0.18
-1.53e-01,1.92,0.18
-1.52e-01,1.84,0.16
-1.51e-01,2,0.12
-1.50e-01,1.92,0.14
-1.49e-01,1.84,0.12
-1.48e-01,1.84,0.12
-1.47e-01,1.84,0.12
-1.46e-01,1.68,0.1
-1.45e-01,1.76,0.12
-1.44e-01,1.68,0.08
-1.43e-01,1.68,0.1
-1.42e-01,1.68,0.1
-1.41e-01,1.68,0.08
-1.40e-01,1.52,0.06
-1.39e-01,1.68,0.08
-1.38e-01,1.52,0.06
-1.37e-01,1.6,0.1
-1.36e-01,1.52,0.1
-1.35e-01,1.44,0.08
-1.34e-01,1.36,0.1
-1.33e-01,1.52,0.12
-1.32e-01,1.44,0.12
-1.31e-01,1.44,0.12
-1.30e-01,1.36,0.14
-1.29e-01,1.36,0.16
-1.28e-01,1.44,0.18
-1.27e-01,1.2,0.18
-1.26e-01,1.28,0.2
-1.25e-01,1.28,0.22
-1.24e-01,1.28,0.24
-1.23e-01,1.28,0.26
-1.22e-01,1.12,0.26
-1.21e-01,1.2,0.3
-1.20e-01,1.12,0.3
-1.19e-01,1.04,0.32
-1.18e-01,1.04,0.34
-1.17e-01,1.04,0.36
-1.16e-01,1.04,0.38
-1.15e-01,1.04,0.4
-1.14e-01,1.04,0.4
-1.13e-01,0.96,0.42
-1.12e-01,0.96,0.42
-1.11e-01,0.96,0.46
-1.10e-01,0.88,0.46
-1.09e-01,0.96,0.44
-1.08e-01,0.8,0.46
-1.07e-01,0.8,0.46
-1.06e-01,0.8,0.48
-1.05e-01,0.88,0.48
-1.04e-01,0.8,0.5
-1.03e-01,0.72,0.48
-1.02e-01,0.64,0.48
-1.01e-01,0.72,0.48
-1.00e-01,0.64,0.5
-9.90e-02,0.64,0.5
-9.80e-02,0.56,0.5
-9.70e-02,0.48,0.48
-9.60e-02,0.56,0.48
-9.50e-02,0.56,0.48
-9.40e-02,0.56,0.46
-9.30e-02,0.48,0.46
-9.20e-02,0.48,0.48
-9.10e-02,0.48,0.46
-9.00e-02,0.4,0.44
-8.90e-02,0.48,0.44
-8.80e-02,0.4,0.44
-8.70e-02,0.32,0.42
-8.60e-02,0.24,0.44
-8.50e-02,0.4,0.42
-8.40e-02,0.32,0.38
-8.30e-02,0.24,0.36
-8.20e-02,0.24,0.38
-8.10e-02,0.16,0.36
-8.00e-02,0.16,0.38
-7.90e-02,0.16,0.36
-7.80e-02,0.16,0.32
-7.70e-02,0.08,0.34
-7.60e-02,0.08,0.32
-7.50e-02,0.08,0.3
-7.40e-02,0.08,0.3
-7.30e-02,0,0.28
-7.20e-02,0,0.28
-7.10e-02,0,0.3
-7.00e-02,0,0.26
-6.90e-02,0,0.26
-6.80e-02,0,0.24
-6.70e-02,0.08,0.24
-6.60e-02,0.16,0.24
-6.50e-02,0.16,0.22
-6.40e-02,0.16,0.2
-6.30e-02,0.24,0.2
-6.20e-02,0.24,0.2
-6.10e-02,0.24,0.2
-6.00e-02,0.24,0.2
-5.90e-02,0.24,0.18
-5.80e-02,0.32,0.18
-5.70e-02,0.32,0.18
-5.60e-02,0.4,0.16
-5.50e-02,0.4,0.14
-5.40e-02,0.32,0.14
-5.30e-02,0.4,0.16
-5.20e-02,0.48,0.14
-5.10e-02,0.4,0.14
-5.00e-02,0.4,0.12
-4.90e-02,0.56,0.14
-4.80e-02,0.56,0.14
-4.70e-02,0.48,0.12
-4.60e-02,0.64,0.12
-4.50e-02,0.64,0.12
-4.40e-02,0.64,0.12
-4.30e-02,0.64,0.12
-4.20e-02,0.72,0.1
-4.10e-02,0.72,0.1
-4.00e-02,0.64,0.1
-3.90e-02,0.8,0.16
-3.80e-02,0.72,0.16
-3.70e-02,0.88,0.2
-3.60e-02,0.88,0.22
-3.50e-02,0.88,0.24
-3.40e-02,0.88,0.26
-3.30e-02,0.88,0.28
-3.20e-02,0.96,0.3
-3.10e-02,0.96,0.34
-3.00e-02,0.96,0.32
-2.90e-02,1.04,0.36
-2.80e-02,0.96,0.4
-2.70e-02,1.04,0.42
-2.60e-02,1.04,0.42
-2.50e-02,1.12,0.44
-2.40e-02,1.04,0.44
-2.30e-02,1.2,0.44
-2.20e-02,1.04,0.44
-2.10e-02,1.2,0.44
-2.00e-02,1.28,0.46
-1.90e-02,1.2,0.46
-1.80e-02,1.28,0.48
-1.70e-02,1.2,0.48
-1.60e-02,1.28,0.48
-1.50e-02,1.28,0.48
-1.40e-02,1.36,0.5
-1.30e-02,1.44,0.5
-1.20e-02,1.28,0.48
-1.10e-02,1.44,0.48
-1.00e-02,1.36,0.48
-9.00e-03,1.6,0.48
-8.00e-03,1.44,0.46
-7.00e-03,1.44,0.46
-6.00e-03,1.6,0.46
-5.00e-03,1.6,0.46
-4.00e-03,1.6,0.44
-3.00e-03,1.6,0.42
-2.00e-03,1.68,0.44
-1.00e-03,1.68,0.42
0.00e+00,1.76,0.4
1.00e-03,1.76,0.38
2.00e-03,1.76,0.36
3.00e-03,1.76,0.36
4.00e-03,1.84,0.36
5.00e-03,1.84,0.34
6.00e-03,1.84,0.3
7.00e-03,1.84,0.3
8.00e-03,1.92,0.28
9.00e-03,2,0.26
1.00e-02,2,0.26
1.10e-02,1.92,0.22
1.20e-02,2,0.2
1.30e-02,2,0.16
1.40e-02,2.08,0.18
1.50e-02,2.08,0.16
1.60e-02,2.16,0.14
1.70e-02,2.08,0.14
1.80e-02,2.16,0.14
1.90e-02,2.16,0.12
2.00e-02,2.24,0.1
2.10e-02,2.24,0.1
2.20e-02,2.16,0.1
2.30e-02,2.24,0.08
2.40e-02,2.32,0.1
2.50e-02,2.24,0.08
2.60e-02,2.32,0.1
2.70e-02,2.4,0.08
2.80e-02,2.4,0.1
2.90e-02,2.48,0.1
3.00e-02,2.4,0.08
3.10e-02,2.4,0.1
3.20e-02,2.48,0.1
3.30e-02,2.48,0.1
3.40e-02,2.56,0.12
3.50e-02,2.56,0.1
3.60e-02,2.56,0.14
3.70e-02,2.64,0.14
3.80e-02,2.64,0.18
3.90e-02,2.72,0.18
4.00e-02,2.72,0.2
4.10e-02,2.72,0.2
4.20e-02,2.72,0.24
4.30e-02,2.72,0.24
4.40e-02,2.8,0.26
4.50e-02,2.8,0.26
4.60e-02,2.88,0.28
4.70e-02,2.88,0.3
4.80e-02,2.88,0.32
4.90e-02,2.88,0.34
5.00e-02,3.04,0.38
5.10e-02,2.88,0.36
5.20e-02,2.96,0.4
5.30e-02,3.04,0.42
5.40e-02,3.04,0.42
5.50e-02,3.04,0.44
5.60e-02,2.96,0.44
5.70e-02,3.12,0.46
5.80e-02,3.04,0.46
5.90e-02,3.2,0.48
6.00e-02,3.12,0.48
6.10e-02,3.2,0.48
6.20e-02,3.2,0.48
6.30e-02,3.2,0.48
6.40e-02,3.36,0.48
6.50e-02,3.44,0.5
6.60e-02,3.36,0.5
6.70e-02,3.36,0.48
6.80e-02,3.36,0.48
6.90e-02,3.36,0.5
7.00e-02,3.44,0.5
7.10e-02,3.36,0.48
7.20e-02,3.44,0.48
7.30e-02,3.52,0.48
7.40e-02,3.6,0.48
7.50e-02,3.6,0.46
7.60e-02,3.6,0.44
7.70e-02,3.6,0.44
7.80e-02,3.68,0.42
7.90e-02,3.76,0.42
8.00e-02,3.68,0.42
8.10e-02,3.76,0.4
8.20e-02,3.68,0.38
8.30e-02,3.76,0.34
8.40e-02,3.76,0.34
8.50e-02,3.68,0.32
8.60e-02,3.76,0.3
8.70e-02,3.68,0.28
8.80e-02,3.6,0.28
8.90e-02,3.6,0.26
9.00e-02,3.52,0.26
9.10e-02,3.52,0.26
9.20e-02,3.68,0.26
9.30e-02,3.6,0.22
9.40e-02,3.52,0.24
9.50e-02,3.6,0.24
9.60e-02,3.44,0.24
9.70e-02,3.52,0.24
9.80e-02,3.44,0.24
9.90e-02,3.44,0.26
1.00e-01,3.28,0.24
1.01e-01,3.36,0.24
1.02e-01,3.28,0.26
1.03e-01,3.28,0.28
1.04e-01,3.28,0.28
1.05e-01,3.2,0.3
1.06e-01,3.12,0.3
1.07e-01,3.2,0.28
1.08e-01,3.2,0.3
1.09e-01,3.04,0.34
1.10e-01,3.12,0.36
1.11e-01,3.12,0.36
1.12e-01,2.96,0.36
1.13e-01,3.04,0.36
1.14e-01,2.96,0.4
1.15e-01,2.96,0.42
1.16e-01,2.96,0.42
1.17e-01,2.96,0.44
1.18e-01,2.88,0.44
1.19e-01,2.96,0.42
1.20e-01,2.88,0.44
1.21e-01,2.88,0.46
1.22e-01,2.8,0.46
1.23e-01,2.8,0.48
1.24e-01,2.72,0.48
1.25e-01,2.8,0.48
1.26e-01,2.8,0.48
1.27e-01,2.64,0.48
1.28e-01,2.56,0.48
1.29e-01,2.56,0.52
1.30e-01,2.64,0.5
1.31e-01,2.64,0.5
1.32e-01,2.64,0.48
1.33e-01,2.48,0.5
1.34e-01,2.48,0.5
1.35e-01,2.56,0.5
1.36e-01,2.4,0.5
1.37e-01,2.48,0.48
1.38e-01,2.48,0.46
1.39e-01,2.4,0.46
1.40e-01,2.48,0.46
1.41e-01,2.32,0.46
1.42e-01,2.4,0.44
1.43e-01,2.32,0.44
1.44e-01,2.24,0.42
1.45e-01,2.24,0.38
1.46e-01,2.16,0.36
1.47e-01,2.24,0.36
1.48e-01,2.24,0.34
1.49e-01,2.24,0.32
1.50e-01,2.08,0.28
1.51e-01,2.08,0.28
1.52e-01,2,0.26
1.53e-01,2.08,0.26
1.54e-01,2,0.24
1.55e-01,2,0.2
1.56e-01,2,0.18
1.57e-01,1.92,0.18
1.58e-01,2,0.18
1.59e-01,1.92,0.16
1.60e-01,1.92,0.16
1.61e-01,1.84,0.14
1.62e-01,1.92,0.12
1.63e-01,1.84,0.1
1.64e-01,1.68,0.1
1.65e-01,1.76,0.1
1.66e-01,1.84,0.1
1.67e-01,1.76,0.1
1.68e-01,1.68,0.1
1.69e-01,1.68,0.1
1.70e-01,1.76,0.08
1.71e-01,1.6,0.08
1.72e-01,1.52,0.08
1.73e-01,1.52,0.1
1.74e-01,1.6,0.1
1.75e-01,1.52,0.1
1.76e-01,1.52,0.12
1.77e-01,1.44,0.1
1.78e-01,1.36,0.12
1.79e-01,1.44,0.14
1.80e-01,1.36,0.14
1.81e-01,1.44,0.14
1.82e-01,1.28,0.16
1.83e-01,1.36,0.16
1.84e-01,1.28,0.18
1.85e-01,1.28,0.22
1.86e-01,1.2,0.26
1.87e-01,1.2,0.26
1.88e-01,1.2,0.26
1.89e-01,1.2,0.3
1.90e-01,1.12,0.32
1.91e-01,1.12,0.34
1.92e-01,1.12,0.34
1.93e-01,1.12,0.36
1.94e-01,1.12,0.36
1.95e-01,1.04,0.38
1.96e-01,0.88,0.42
1.97e-01,1.04,0.42
1.98e-01,0.96,0.42
1.99e-01,0.96,0.46
2.00e-01,0.88,0.44
2.01e-01,0.88,0.44
2.02e-01,0.88,0.46
2.03e-01,0.88,0.46
2.04e-01,0.8,0.5
2.05e-01,0.72,0.48
2.06e-01,0.64,0.48
2.07e-01,0.72,0.46
2.08e-01,0.72,0.48
2.09e-01,0.64,0.48
2.10e-01,0.64,0.5
2.11e-01,0.64,0.48
2.12e-01,0.64,0.48
2.13e-01,0.56,0.46
2.14e-01,0.48,0.5
2.15e-01,0.56,0.46
2.16e-01,0.48,0.46
2.17e-01,0.48,0.48
2.18e-01,0.48,0.48
2.19e-01,0.48,0.46
2.20e-01,0.32,0.46
2.21e-01,0.4,0.46
2.22e-01,0.32,0.44
2.23e-01,0.32,0.44
2.24e-01,0.32,0.42
2.25e-01,0.32,0.42
2.26e-01,0.32,0.4
2.27e-01,0.24,0.4
2.28e-01,0.24,0.42
2.29e-01,0.24,0.38
2.30e-01,0.16,0.36
2.31e-01,0.16,0.36
2.32e-01,0.08,0.36
2.33e-01,0.16,0.36
2.34e-01,0,0.34
2.35e-01,0,0.3
2.36e-01,0,0.3
2.37e-01,0.08,0.32
2.38e-01,0,0.3
2.39e-01,0,0.28
2.40e-01,0,0.28
2.41e-01,0,0.28
2.42e-01,0,0.24
2.43e-01,0.16,0.24
2.44e-01,0,0.24
2.45e-01,0.16,0.24
2.46e-01,0.16,0.2
2.47e-01,0.16,0.22
2.48e-01,0.16,0.2
2.49e-01,0.24,0.2
2.50e-01,0.24,0.18
2.51e-01,0.32,0.18
2.52e-01,0.32,0.18
2.53e-01,0.32,0.18
2.54e-01,0.32,0.16
2.55e-01,0.4,0.18
2.56e-01,0.4,0.16
2.57e-01,0.48,0.14
2.58e-01,0.4,0.16
2.59e-01,0.56,0.14
2.60e-01,0.4,0.14
2.61e-01,0.48,0.12
2.62e-01,0.56,0.14
2.63e-01,0.64,0.14
2.64e-01,0.56,0.12
2.65e-01,0.56,0.14
2.66e-01,0.64,0.12
2.67e-01,0.72,0.1
2.68e-01,0.56,0.14
2.69e-01,0.64,0.12
2.70e-01,0.72,0.16
2.71e-01,0.8,0.18
2.72e-01,0.8,0.18
2.73e-01,0.72,0.2
2.74e-01,0.88,0.22
2.75e-01,0.88,0.26
2.76e-01,0.96,0.28
2.77e-01,0.88,0.3
2.78e-01,0.88,0.3
2.79e-01,0.96,0.34
2.80e-01,0.96,0.34
2.81e-01,1.04,0.38
2.82e-01,0.96,0.38
2.83e-01,1.12,0.4
2.84e-01,0.96,0.42
2.85e-01,1.12,0.42
2.86e-01,1.12,0.44
2.87e-01,1.12,0.46
2.88e-01,1.2,0.46
2.89e-01,1.12,0.44
2.90e-01,1.2,0.46
2.91e-01,1.28,0.48
2.92e-01,1.28,0.46
2.93e-01,1.28,0.48
2.94e-01,1.28,0.48
2.95e-01,1.36,0.48
2.96e-01,1.36,0.48
2.97e-01,1.36,0.48
2.98e-01,1.44,0.48
2.99e-01,1.44,0.48
3.00e-01,1.36,0.48
3.01e-01,1.44,0.48
3.02e-01,1.52,0.46
3.03e-01,1.52,0.46
3.04e-01,1.52,0.48
3.05e-01,1.6,0.5
3.06e-01,1.6,0.44
3.07e-01,1.68,0.42
3.08e-01,1.68,0.42
3.09e-01,1.6,0.42
3.10e-01,1.68,0.4
3.11e-01,1.76,0.38
3.12e-01,1.76,0.4
3.13e-01,1.84,0.36
3.14e-01,1.76,0.34
3.15e-01,1.84,0.32
3.16e-01,1.84,0.32
3.17e-01,1.84,0.3
3.18e-01,1.92,0.26
3.19e-01,1.92,0.26
3.20e-01,1.92,0.26
3.21e-01,2,0.22
3.22e-01,2,0.2
3.23e-01,2.08,0.2
3.24e-01,2.08,0.16
3.25e-01,2.08,0.18
3.26e-01,2.08,0.16
3.27e-01,2.16,0.14
3.28e-01,2.16,0.12
3.29e-01,2.24,0.12
3.30e-01,2.24,0.12
3.31e-01,2.16,0.1
3.32e-01,2.32,0.12
3.33e-01,2.32,0.06
3.34e-01,2.32,0.1
3.35e-01,2.32,0.08
3.36e-01,2.32,0.1
3.37e-01,2.32,0.08
3.38e-01,2.4,0.1
3.39e-01,2.4,0.08
3.40e-01,2.4,0.1
3.41e-01,2.48,0.1
3.42e-01,2.48,0.1
3.43e-01,2.48,0.12
3.44e-01,2.56,0.14
3.45e-01,2.56,0.12
3.46e-01,2.56,0.14
3.47e-01,2.64,0.16
3.48e-01,2.56,0.16
3.49e-01,2.64,0.18
3.50e-01,2.72,0.2
3.51e-01,2.64,0.2
3.52e-01,2.72,0.22
3.53e-01,2.72,0.24
3.54e-01,2.8,0.26
3.55e-01,2.8,0.28
3.56e-01,2.96,0.3
3.57e-01,2.88,0.32
3.58e-01,2.88,0.34
3.59e-01,2.88,0.36
3.60e-01,2.88,0.38
3.61e-01,2.96,0.38
3.62e-01,2.96,0.42
3.63e-01,2.96,0.42
3.64e-01,3.04,0.42
3.65e-01,3.04,0.44
3.66e-01,3.12,0.44
3.67e-01,3.2,0.46
3.68e-01,3.04,0.48
3.69e-01,3.12,0.48
3.70e-01,3.2,0.48
3.71e-01,3.2,0.48
3.72e-01,3.2,0.5
3.73e-01,3.28,0.5
3.74e-01,3.28,0.48
3.75e-01,3.36,0.5
3.76e-01,3.28,0.5
3.77e-01,3.36,0.5
3.78e-01,3.28,0.48
3.79e-01,3.36,0.5
3.80e-01,3.36,0.48
3.81e-01,3.44,0.5
3.82e-01,3.52,0.48
3.83e-01,3.52,0.48
3.84e-01,3.52,0.44
3.85e-01,3.52,0.46
3.86e-01,3.6,0.44
3.87e-01,3.52,0.44
3.88e-01,3.6,0.46
